PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
Dog,Poodle,120,White,Medium,2.586711070175558,1,1,27,277,0,0
Dog,Siamese,88,Black,Medium,16.528646663148805,1,0,71,150,0,1
Dog,Poodle,67,Gray,Large,28.13672858421196,0,0,3,345,0,0
Bird,Labrador,75,Orange,Small,18.330782537041355,1,1,58,333,1,0
Dog,Poodle,45,Orange,Medium,24.47339716542163,1,0,89,139,0,1
Dog,Labrador,4,Brown,Large,24.204426803360768,1,0,17,113,0,1
Dog,Labrador,154,White,Small,28.03174389363893,1,0,45,67,0,1
Bird,Poodle,155,Black,Medium,23.336634203846327,1,0,78,365,0,1
Dog,Siamese,174,Brown,Small,22.6833149063796,0,0,58,178,0,0
Rabbit,Golden Retriever,107,White,Large,7.788977284148577,1,0,56,124,0,0
Dog,Parakeet,51,Gray,Small,2.737829504311362,0,0,54,396,1,0
Rabbit,Parakeet,50,Orange,Large,16.010384486560426,1,0,87,312,1,0
Rabbit,Golden Retriever,6,Black,Small,4.608592030455901,1,0,88,310,0,1
Rabbit,Labrador,59,Orange,Medium,28.903680412061743,1,0,29,337,1,1
Bird,Labrador,125,Gray,Large,9.407818116357827,0,0,54,362,0,0
Bird,Siamese,143,White,Large,25.7353818981445,1,0,27,411,0,0
Bird,Persian,30,Gray,Large,12.24111413087132,1,0,45,357,0,0
Dog,Poodle,170,Gray,Small,10.372633245863945,1,0,87,232,0,0
Rabbit,Labrador,122,Orange,Small,28.11959859892201,0,0,31,427,1,0
Bird,Parakeet,125,Black,Medium,11.536354590500496,1,1,36,146,0,0
Bird,Siamese,37,Gray,Large,12.318349351230957,0,0,81,429,0,0
Dog,Poodle,170,Orange,Large,4.076661608774366,0,0,61,110,1,0
Bird,Siamese,124,Black,Small,20.44295329319277,0,1,37,362,0,0
Dog,Poodle,101,White,Small,9.37634301984789,0,0,67,357,1,0
Cat,Poodle,35,White,Medium,17.98252086734571,1,0,36,237,1,1
Bird,Golden Retriever,87,Brown,Medium,18.149199417543077,1,0,5,2,0,1
Cat,Labrador,134,Orange,Small,21.856791172277244,1,0,46,210,1,1
Dog,Siamese,18,Black,Large,22.612003099000795,0,0,79,403,0,0
Rabbit,Siamese,113,Gray,Medium,15.919120597644644,1,0,52,24,0,1
Bird,Golden Retriever,29,White,Small,10.598766480498687,1,0,49,330,0,0
Dog,Parakeet,77,Black,Small,25.286075950207284,0,0,6,183,0,0
Rabbit,Parakeet,59,Orange,Large,9.986103832846055,1,0,10,464,1,0
Rabbit,Labrador,175,Brown,Small,15.717763739610612,1,0,23,60,0,1
Cat,Labrador,126,White,Small,12.636324912908114,1,0,17,122,0,1
Dog,Persian,145,Black,Medium,25.797273193120954,1,0,84,496,1,1
Rabbit,Golden Retriever,109,Black,Small,13.525637403229036,1,1,44,54,0,0
Bird,Parakeet,22,Black,Small,12.196876476287043,0,0,41,162,0,0
Bird,Poodle,68,Orange,Medium,21.004887094031485,1,0,15,461,0,1
Cat,Siamese,69,Orange,Large,18.47079218598184,0,0,44,186,1,0
Rabbit,Labrador,165,Orange,Large,4.1101581713795365,1,1,58,38,0,0
Dog,Siamese,49,Gray,Medium,15.736895383974934,1,0,86,184,0,1
Bird,Siamese,141,Black,Medium,22.32887326166418,1,0,50,82,0,1
Rabbit,Persian,162,White,Large,29.77016817314933,1,1,52,194,0,0
Rabbit,Parakeet,109,Orange,Large,19.245258185139253,1,1,70,33,1,0
Cat,Labrador,86,Orange,Large,11.738498926798217,0,0,68,112,0,0
Bird,Siamese,53,Black,Large,7.558396394261434,1,0,63,424,0,0
Bird,Labrador,123,Orange,Large,26.312076790446287,1,0,58,405,0,1
Dog,Poodle,87,Gray,Medium,24.62239115129158,1,1,23,229,1,0
Bird,Persian,179,Gray,Small,7.783761802602161,1,0,44,282,1,0
Dog,Poodle,131,Orange,Large,6.81833061425063,0,1,83,404,0,0
Bird,Labrador,42,Black,Large,21.73896652752409,0,0,44,424,0,0
Cat,Labrador,98,Black,Small,10.133609795644023,1,0,52,286,0,1
Bird,Parakeet,160,Black,Small,9.885565152496778,1,0,67,154,0,0
Dog,Siamese,109,Brown,Small,5.416417164962002,0,0,28,164,0,0
Dog,Siamese,51,Orange,Small,8.655290071585068,1,0,67,449,0,0
Cat,Poodle,85,Black,Small,13.397719170186836,1,0,78,181,0,0
Bird,Persian,174,Gray,Small,22.25231178090005,0,0,18,238,1,0
Bird,Golden Retriever,127,White,Medium,10.752934737998745,1,0,27,136,0,1
Cat,Siamese,21,White,Small,10.52952584491544,1,0,51,338,1,1
Bird,Parakeet,44,Black,Small,9.262484324020638,1,0,60,425,0,0
Bird,Poodle,139,White,Medium,14.870226357820249,1,0,74,419,1,1
Dog,Poodle,103,White,Small,6.2384642402981445,1,0,49,265,0,0
Bird,Golden Retriever,68,Brown,Large,15.08329128693164,1,0,15,186,0,0
Bird,Parakeet,129,Gray,Large,21.421091129646005,0,1,83,39,1,0
Cat,Persian,92,Gray,Small,1.863924616946043,0,0,73,309,0,0
Cat,Parakeet,24,Brown,Medium,1.2836020288670942,1,0,68,492,0,1
Rabbit,Persian,125,Brown,Large,3.178564394480768,1,0,15,166,0,0
Dog,Parakeet,141,White,Medium,16.53414179011525,0,0,51,390,1,0
Bird,Parakeet,111,Orange,Large,25.7791974123767,1,0,48,259,0,0
Bird,Labrador,98,White,Small,1.1416495145873062,0,1,72,142,1,0
Rabbit,Poodle,139,Brown,Medium,28.16317783295575,1,1,1,203,0,0
Bird,Parakeet,179,Gray,Medium,4.082076835545538,0,0,7,175,0,0
Dog,Golden Retriever,17,White,Medium,25.41752231368856,1,0,53,261,0,1
Rabbit,Parakeet,99,Orange,Large,15.002788184505455,1,0,31,251,0,0
Dog,Siamese,82,White,Large,20.121364231086478,0,0,18,328,0,0
Rabbit,Poodle,104,Black,Large,15.80980654896829,1,0,12,418,0,0
Rabbit,Siamese,152,White,Small,14.834398530201284,1,0,48,199,0,0
Cat,Poodle,19,Brown,Large,25.212083422567357,1,0,30,198,0,1
Dog,Siamese,165,Gray,Small,22.920705007466672,0,1,7,195,0,0
Bird,Parakeet,85,Gray,Medium,15.01866485916712,1,0,3,313,1,1
Bird,Parakeet,8,Brown,Medium,4.237441952485787,0,0,63,76,1,1
Dog,Labrador,28,Black,Small,4.346685820117836,1,0,6,18,1,1
Bird,Golden Retriever,5,Brown,Large,24.244644360853187,1,1,15,61,0,0
Bird,Siamese,145,White,Small,16.35232801907847,1,0,71,326,1,0
Dog,Persian,101,Brown,Medium,14.966085066361517,1,0,43,393,0,1
Rabbit,Labrador,164,Brown,Medium,20.736438399460734,0,0,81,280,0,1
Dog,Siamese,118,Black,Small,25.906405919013547,0,0,18,427,1,0
Rabbit,Siamese,147,White,Large,19.23732118798585,1,0,22,249,1,0
Bird,Labrador,64,Orange,Large,23.12258916804789,0,0,61,226,0,0
Bird,Parakeet,91,Orange,Small,23.19284519939175,0,0,61,126,0,0
Bird,Siamese,117,Gray,Small,11.331582014995814,1,0,53,57,0,0
Cat,Parakeet,98,Brown,Large,8.948412673588876,0,1,26,408,0,0
Rabbit,Labrador,11,Gray,Medium,24.2337579480796,1,0,40,476,1,1
Cat,Parakeet,54,Black,Small,11.938184961743062,0,0,88,375,0,0
Cat,Poodle,173,Orange,Large,27.19674418915845,1,0,8,203,1,0
Dog,Persian,47,Brown,Large,3.021030205173469,1,0,21,242,0,0
Cat,Siamese,140,Black,Medium,2.6883078501848496,1,0,43,366,1,1
Dog,Golden Retriever,149,Black,Medium,27.88312064294084,0,1,21,423,1,0
Dog,Persian,139,Brown,Medium,19.805192511261613,1,1,3,331,0,0
Cat,Parakeet,5,Black,Medium,12.008381337001635,1,0,31,499,0,1
Rabbit,Siamese,20,Brown,Medium,22.8967520296693,1,0,27,325,1,1
Rabbit,Parakeet,169,Brown,Small,20.4974774898156,1,0,27,251,0,0
Rabbit,Poodle,46,White,Large,16.40483035776829,1,0,73,393,0,0
Rabbit,Labrador,12,Gray,Small,3.867326937216889,0,0,57,321,0,1
Rabbit,Siamese,70,Black,Small,24.553208031489795,1,0,33,375,0,0
Cat,Poodle,17,Black,Small,26.114672529738115,1,1,44,492,1,0
Cat,Poodle,115,White,Small,5.992891968026824,1,0,43,408,0,0
Bird,Siamese,147,White,Small,25.66483790733493,0,0,31,198,1,0
Rabbit,Parakeet,154,White,Medium,26.457572019480363,1,1,65,487,0,0
Cat,Golden Retriever,48,Orange,Medium,16.933429756366962,1,0,84,342,1,1
Bird,Poodle,108,Orange,Large,20.02919205045792,0,0,76,239,0,0
Rabbit,Persian,52,Orange,Small,12.084882280420253,0,0,17,138,0,0
Dog,Poodle,96,Brown,Large,9.171957777768714,0,0,15,121,0,0
Bird,Golden Retriever,70,Black,Medium,21.9375112615977,1,1,34,419,1,0
Cat,Parakeet,102,Gray,Medium,25.99437932145844,0,1,80,48,0,0
Dog,Parakeet,75,Brown,Medium,19.96824903571668,1,1,4,303,1,0
Dog,Persian,161,Black,Small,15.836127708749927,1,1,72,114,0,0
Dog,Poodle,151,Black,Small,5.608818238480975,1,0,89,342,0,0
Bird,Parakeet,143,White,Medium,2.5503026655397267,1,1,79,250,1,0
Cat,Golden Retriever,155,White,Large,13.925061917155649,0,1,28,490,0,0
Dog,Siamese,179,Brown,Large,2.431137347225217,1,0,73,6,0,0
Rabbit,Labrador,82,White,Medium,17.51070432530953,1,0,2,218,0,1
Dog,Labrador,92,Black,Large,12.099146548215368,0,0,17,76,0,0
Dog,Labrador,179,White,Medium,22.958484470777115,0,0,58,178,0,1
Bird,Poodle,175,Orange,Large,9.86380640824932,1,0,74,144,0,0
Bird,Persian,4,White,Medium,18.19649832805553,1,1,9,415,0,1
Cat,Parakeet,135,Black,Large,16.592822130897915,1,1,31,153,1,0
Rabbit,Siamese,109,Brown,Small,1.1366603401449935,0,0,66,120,1,0
Bird,Golden Retriever,163,Gray,Medium,3.099292549665,1,0,88,123,0,1
Dog,Siamese,48,White,Medium,9.420678162094594,0,1,62,149,0,0
Cat,Golden Retriever,73,Black,Large,26.584817349602183,1,0,19,396,0,0
Dog,Poodle,72,Gray,Medium,5.263433692093578,1,0,81,380,1,1
Dog,Labrador,116,Gray,Medium,21.615935583355707,1,0,74,267,0,1
Bird,Poodle,173,Orange,Medium,29.22763041841633,0,1,55,326,0,0
Cat,Persian,81,Gray,Small,23.9264590280435,1,1,28,0,1,0
Rabbit,Persian,81,Black,Small,8.045415488924274,0,0,50,160,0,0
Rabbit,Golden Retriever,113,Black,Large,27.34259255197937,1,0,65,243,1,0
Bird,Parakeet,96,White,Small,3.700107538743312,1,1,3,374,0,0
Bird,Parakeet,72,White,Large,14.576116314251337,0,0,79,397,0,0
Cat,Golden Retriever,147,White,Small,26.738715324066,1,0,52,250,1,0
Rabbit,Persian,63,Gray,Large,19.596705568449224,1,0,10,366,0,0
Rabbit,Persian,38,Gray,Small,12.995692377103266,1,0,21,63,1,0
Rabbit,Persian,67,Orange,Small,9.491573135377894,1,0,37,298,0,0
Dog,Poodle,69,White,Large,11.877882754232148,1,0,15,247,1,0
Rabbit,Persian,13,Brown,Medium,15.7593116492693,1,1,87,441,0,1
Dog,Siamese,175,Orange,Medium,10.252273966311414,0,0,78,296,0,0
Cat,Labrador,31,Brown,Small,29.10006800038669,1,1,79,464,0,0
Dog,Persian,114,Gray,Large,28.05925193891821,1,1,74,451,0,0
Cat,Golden Retriever,22,Orange,Medium,26.2494725782153,1,0,9,499,0,1
Rabbit,Labrador,93,Orange,Large,13.23306523015695,1,0,44,114,0,1
Rabbit,Poodle,171,Black,Medium,21.04775131072164,1,0,39,294,0,1
Cat,Golden Retriever,67,Gray,Large,27.182049904042973,0,0,5,0,0,0
Bird,Labrador,54,Gray,Small,25.662455142688916,0,0,25,40,0,0
Cat,Golden Retriever,138,Orange,Large,13.01548340658602,1,0,56,172,0,0
Bird,Poodle,42,Gray,Medium,4.25919543034556,1,0,64,87,0,1
Dog,Siamese,64,Orange,Small,3.1932805512019344,1,0,72,481,1,0
Dog,Poodle,126,Black,Large,17.734857311545376,1,1,86,97,0,0
Dog,Poodle,21,Orange,Medium,19.636210121117017,0,0,52,87,0,1
Rabbit,Golden Retriever,169,Gray,Small,25.645435533313695,1,0,89,250,0,0
Dog,Parakeet,152,Gray,Large,9.4829355898899,1,0,76,334,1,0
Bird,Persian,35,Orange,Medium,5.856644225951232,1,1,9,464,0,0
Dog,Persian,30,Orange,Large,11.991169162167784,1,0,10,140,0,0
Cat,Siamese,57,Orange,Large,11.253678585335976,1,0,10,70,0,0
Cat,Siamese,47,White,Small,4.841599666517787,1,0,73,136,0,0
Rabbit,Persian,163,Gray,Small,20.49619692288141,1,0,62,491,1,0
Cat,Parakeet,19,Gray,Medium,15.752066281151905,1,1,60,446,0,1
Bird,Persian,114,White,Small,21.91255992732822,1,0,19,98,0,0
Dog,Parakeet,8,Orange,Medium,11.228042484922304,1,0,38,150,1,1
Rabbit,Siamese,26,Black,Large,10.445364135753367,1,0,6,437,0,0
Dog,Labrador,113,Orange,Large,14.704699738271811,1,1,15,174,1,0
Dog,Golden Retriever,71,Orange,Medium,26.444813016459264,1,0,47,166,0,1
Bird,Siamese,30,White,Large,2.1681578952854297,1,1,45,342,1,0
Cat,Siamese,135,Gray,Small,24.34015170159769,0,0,5,409,1,0
Cat,Poodle,67,Orange,Large,11.70064076707494,1,0,78,256,0,0
Dog,Poodle,65,Gray,Small,25.783951747865853,1,0,53,397,1,0
Rabbit,Poodle,36,Brown,Medium,24.26388725623984,1,0,66,223,0,1
Cat,Golden Retriever,25,Gray,Medium,11.114076174486565,1,0,62,498,0,1
Rabbit,Poodle,37,Black,Large,21.12241952432686,0,1,23,367,0,0
Cat,Parakeet,1,Black,Large,5.629349946429764,0,0,44,329,0,0
Rabbit,Persian,143,Orange,Small,26.99216501274985,0,1,52,64,1,0
Bird,Labrador,37,Gray,Small,12.730240869105373,1,0,46,68,0,1
Rabbit,Siamese,141,Orange,Large,14.213142845300805,1,0,19,66,1,0
Bird,Parakeet,136,White,Large,21.46701248007256,1,1,88,432,0,0
Bird,Labrador,133,Black,Medium,24.80436686444068,1,0,84,49,0,1
Rabbit,Parakeet,128,Orange,Medium,7.853939556518078,1,0,47,313,0,1
Bird,Parakeet,127,White,Medium,20.179154056432868,0,1,52,308,0,0
Dog,Siamese,1,Orange,Large,12.367943272785306,0,0,24,90,1,0
Bird,Persian,164,Gray,Large,11.692384796114878,1,0,17,114,1,0
Cat,Poodle,35,Gray,Large,21.010748894278983,1,1,89,373,1,0
Rabbit,Golden Retriever,104,Gray,Medium,12.228314950522096,1,0,46,56,1,1
Dog,Persian,23,Gray,Large,11.037146504767822,1,1,64,341,0,0
Rabbit,Golden Retriever,9,Brown,Small,25.24076383566103,1,0,28,17,0,1
Cat,Siamese,34,White,Large,3.9370075910991846,0,0,50,271,0,0
Cat,Siamese,174,White,Large,20.60088606207611,1,0,64,129,0,0
Cat,Siamese,128,Gray,Large,8.213036419928114,1,0,28,494,0,0
Bird,Labrador,4,Brown,Large,1.4494490129595188,1,0,86,268,0,1
Bird,Golden Retriever,158,Gray,Large,5.8361637973080684,0,1,56,428,0,0
Rabbit,Persian,102,Brown,Small,18.593184363500164,1,0,59,79,0,0
Rabbit,Persian,75,Gray,Small,21.564688553092186,1,0,5,455,1,0
Dog,Parakeet,99,Black,Large,1.6106757231332811,0,0,54,298,0,0
Dog,Parakeet,72,Black,Medium,2.0563378557498844,1,0,44,455,0,1
Rabbit,Parakeet,3,Orange,Large,27.17372133044564,0,0,42,309,0,0
Bird,Siamese,142,Gray,Large,3.125868725297875,1,0,72,201,1,0
Cat,Persian,173,White,Large,26.931282599880568,1,0,57,224,1,0
Rabbit,Golden Retriever,34,Orange,Medium,7.616811498776268,1,0,47,158,0,1
Dog,Siamese,45,Black,Medium,22.46051620458817,1,0,76,203,0,1
Bird,Labrador,61,Gray,Medium,9.98226421943435,0,0,25,136,1,1
Rabbit,Parakeet,83,Orange,Small,25.90380874266633,0,0,44,484,0,0
Rabbit,Siamese,123,Gray,Medium,21.31319109730638,0,0,15,72,1,0
Bird,Siamese,102,Black,Small,12.65259029944916,0,0,51,47,1,0
Rabbit,Labrador,16,Orange,Small,3.212771171048307,1,1,53,17,0,1
Bird,Poodle,66,Black,Medium,22.248305332253405,0,1,34,477,0,0
Cat,Persian,168,Brown,Medium,18.889657922990263,1,0,77,479,0,1
Bird,Golden Retriever,145,Black,Medium,1.0844398171798737,1,0,8,487,0,1
Bird,Poodle,119,Gray,Small,1.2731758232009145,1,1,77,470,1,0
Bird,Parakeet,162,White,Large,24.454996222588125,1,0,70,266,1,0
Rabbit,Siamese,124,Black,Medium,8.522592425253762,1,0,21,445,1,1
Rabbit,Labrador,144,White,Medium,19.447876364113903,1,0,7,339,0,1
Bird,Labrador,102,Brown,Medium,14.172218173192176,0,0,79,18,0,1
Rabbit,Persian,66,Orange,Small,26.03947042113125,1,0,56,99,0,0
Dog,Poodle,13,Orange,Small,27.59187227997217,1,0,49,115,0,1
Dog,Persian,111,White,Large,29.907423667686768,1,0,42,345,0,0
Rabbit,Siamese,159,Orange,Medium,5.456839938410158,1,0,23,73,0,1
Rabbit,Persian,34,Black,Small,26.025957347788783,1,1,52,279,0,0
Bird,Golden Retriever,39,White,Large,8.714619925135251,1,0,79,268,1,0
